"cityName","hospitalName","hospitalAddress"
"Ahmedabad","3rd Eye - The Vitreoretina Clinic & Eye Hospital","2, JATIN BUNGALOW, BEHIND HOTEL PRIDE, FIRE STATION LANE, OFF JUDGES BUNGALOW ROAD, BODAKDEV, AHMEDABAD-380054"
"Ahmedabad","SARDAR VALLABHBHAI PATEL INSTITUTE OF MEDICAL SCIENCE & RESEARCH( SVPIMSR )","SVPIMSR  1ST FLOOR UTILITY BUILDING, ELLISBRIDGE, AHMEDABADPIN-380006e-mail-info@svphospital.com, svpimsr@gmail.com."
"Ahmedabad","SAL Hospital & Medical Institute","Near Doordarshan Kendra, Drive in Road,Thaltej,Ahmedabad "
"Ahmedabad","Agarwal Health Care","87, 1st floor, Dev Aurum Showroom & Office, Anandnagar Cross Road, Opp. Madhur Hall, 100 ft. Road, Prahladnagar, Ahmedabad-380015Telephone-9925972335"
"Ahmedabad","Kanba Hospital (A unit of Lakahni Hospitals Pvt. Ltd.)","33/4, OPP. ABJIBAPA GREEN AVENUE, NEAR ANJANA CHOWK, VIRATNAGAR ROAD,NIKOL AHMEDABAD-382350"
"Ahmedabad","Sanjeevani Eye Hospital","203, Satved Complex, Near Valus Hospital, Near Golden Triangle, Naranpura, Ahmedabad -380013 "
"Ahmedabad","Tej Eye Centre","901/1,Sector 7-C Opp.Main Bus Depot,GH Road,Gandhinagar 382007"
"Ahmedabad","Shalby Hospital Naroda(Unit of Shalby Ltd)","Haridarshan cross road,Naroda,Ahmedabad"
"Ahmedabad","TEJ EYE CENTRE","Ground floor, shyamgokul complex, vijay cross road,helmet circle, Ahmedabad"
"Ahmedabad","Eye Care Hospital","Polytechnic Ambawadi Ahmedabad"
"Ahmedabad","Dr. Maitry M. Shah Dental Clinic & Implant Centre","406, 4th Floor, Merlin Pentagon, Opp. Badshah Dairy, Mahalaxmi Panch Rasta, Paldi, Ahmedabad-380007 Mob.7567256005"
"Ahmedabad","Aashu Dental & Multispeciality Clinic","B/h Navrangpura post office, Navrangpura, Ahmedabad-380009"
"AJMER","Mittal Hospital &  Research Centre","Pushkar Road Ajmer"
"AJMER","Dr. Khungers Eye Care & Research Centre Pvt. Ltd.","1109, Bewar Road, Opp. PNB Ramganj Ajmer"
"ALIGARH","Prakash Netralaya and Retina Foundation","HIG-06, Ramghat Road, Aligarh"
"ALIGARH","Mithraj Multisuper Speciality Hospital & Research Center","Ramghat Road, Near Sports Stadium, Aligarh-202001"
"ALIGARH","Sharma Eye Care Centre","Near Kishanpur Tiraha, Ramghat Road, Aligarh   202001"
"ALIGARH","Varun Eye Care & Research Institute Private Limited","Kishan Pur Tiraha, Ramghat Road, Aligarh"
"AMBALA","Mittal Dental Clinic","Shop No 6-7,Old Anaj Mandi, Ambala City, Ambala-134003Haryana"
"AMBALA","Leelawati Hospital","8-9, Inder Nagar,Police line Road,Ambala City, Haryana"
"AMBALA","Maharishi Markandeshwar Institute of Medical Sciences & Research","Mullana (Ambala)-133207,Haryana"
"AMBALA","BANSAL EYE HOSPITAL","121, Civil Lines,Near Near Kalka Chowk, Ambala City 134003, Haryana"
"AMBALA","Manocha Eye Hospital","Arya Chowk, Ambala CityHaryana 134003"
"AMBALA","Sri Onkar Eye and ENT Care Centre","1402/677, New Model Colony, Ambala city"
"AMBALA","P.C.Sharma Eye Hospital","805, Civil Lines, Arya chowk, Ambala-134003"
"AMBALA","Healing Touch superspeciality Hospital","Sultanpur Chowk,Ambala- Chd highway, Ambala City"
"AMBALA","LJ Eye Institute","251,Model Town,Ambala City, 134004"
"AMBALA","Ishwar hospital","Spatu Road, Near Miri Piri Chowk, Ambla 134003"
"AMBALA","KAPIL EYE HOSPITAL","240, Vivek Vihar, opposite PWD Rest House, Civil Line, Ambala-134003"
"AMRITSAR","Apex Hospital","Batala Road, Paris Town,Amritsar-143001, Punjab "
"AMRITSAR","Uppal Neuro Hospital","4, Rani Ka Bagh,Amritsar-143001Punjab"
"AMRITSAR","Randhawa Hospital","12-Mall Road, Kennedy Avenue, Amritsar-143001, Punjab"
"AMRITSAR","Amandeep Hospital","GT Road, Rani ka Bagh, Model town, Amritsar"
"AMRITSAR","Parkash Hospital","GT Road, Putlighar, Amritsar-143001 (Punjab)"
"AMRITSAR","Mahajan Hospital","Inside Gate Khazana, Amritsar-143001 (Punjab)"
"AMRITSAR","Dr Karam Singh Memorial Multispeciality Hospital","16 A Circular road, Near Ghala Mala Chowk Amritsar"
"AMRITSAR","Pulse Hospital","Maqbool Pura Chowk, Mehta road,Amritsar 143001"
"AMRITSAR","KD Ganesha","7 Circular Road, Near Medical college,Amritsar"
"AMRITSAR","Hartej Hospital","A-2090-293, Ranjit Avenue,Amritsar-143001"
"AMRITSAR","Smt.Paarvati Devi hospital","A Block, Ranjit Avenue, Amritsar-143001, Punjab"
"AMRITSAR","Ohri Hospital","GT Road, Putlighar,Amritsar 143001"
"AMRITSAR","EMC Super Speciality Hospital","Green Avenue, Backlane DC Residence, Amritsar 143001, Punjab"
"AMRITSAR","Nirmaljot Eye Hospital","35/13 Mall Road Amritsar, Punjab"
"AMRITSAR","Ranjit Hospital","G T road. Putlighar, Amritsar-143001"
"AMRITSAR","Hargun Hospital","Adjoining Sehmi Saw Mill, Batala road, Amritsar"
"AMRITSAR","Florem Hospital","Majitha Road, Bye Pass Chowk, Amritsar, Punjab-143001"
"AMRITSAR","Akashdeep Hospital","Majitha road, moon Avenue, 143001"
"AMRITSAR","Nayyar Heart Institute and Super speciality Hospital","3, Dasondha Singh road, Lawrence road Ext,"
"AMRITSAR","Dr Shakeen Eye and Dental Hospital","391, Green Avenue, Amritsar143001"
"AMRITSAR","Dhingra General Hospital","77-79, Ajit Nagar, Amritsar-143001"
"AMRITSAR","Madaan Hospital","1, Pink Avenue, Majitha Road, Amritsar-143001 (Pb)"
"AMRITSAR","Gumber Eye & Dental Care Centre","3584,Putlighar, Amritsar-143001 (Pb)"
"AMRITSAR","Om Prakash Eye Institute","117-A, The Mall, Amritsar 143001"
"AMRITSAR","Surjit Hospital","1,Jujhar AvenueGumtala, Airport road, Amritsar"
"AMRITSAR","Med Card Multispecialty Hospital","Taran Taran road, Amritsar"
"AMRITSAR","FORTIS ESCORTS HOSPITAL","Majitha-Verka Bypass Road, Amritsar 143004"
"AMRITSAR","Amandeep Medicity","Mall Road, Near Novelty Chowk, Amritsar-143001"
"AMRITSAR","Gupta Multi-specialty Hospital","Opposite Alfa One Mall, Sant Avenue, Amritsar, Punjab-143001"
"AMRITSAR","Gupta Hospital","12-F race course Road, Amritsar-143001(Pb)"
"AMRITSAR","Dev Hospital","Batala Road, Amritsar,143001Punjab"
"AMRITSAR","Ivy Hospital","Airport Road Village HeirAmritsar, Punjab 143001"
"AMRITSAR","JAI KAMAL Eye Hospital","Opposite sandhu Colony, GT road, Chheharta, Amritsar-Punjab"
"AMRITSAR","Dr Daljit Singh Eye Hospital","1-Radha Soami Road, The Mall,Amritsar"
"AMRITSAR","Sukhbir Hospital & Nursing Home","Near Chirag Palace, GT raod, Putlighar, Amritsar-143001(Pb)"
"AMRITSAR","Care & Cure Medicity Hospital","The Mall Road, Batala Road, Amritsar"
"AMRITSAR","Lifekare Hospital","3,4,5 Nirankari Colony, AmritsarPunjab-143001"
"AMRITSAR","The Corporate Hospital","Batala road, Near Mustafabad gate,Amritsar 143001 (Punjab)"
"AMRITSAR","Dr Adarsh Heart and Super speciality Hospital","13 Basant Avenue, Near rattan singh Chowk, Amritsar"
"BAGHPAT","Sarvodaya Hospital & Institute of Medical Science","Aggarwal mandi, Tatiri, Baghpat Meerut Road, Baghpat, Ph. No. 0121-2279585, 2279586"
"Bangalore","Fortis Health Management LTD, Nagarbhavi","No 23, 80 feet road, Gurukrupa layout, 2nd Stage , Nagarabhavi, Bangalore 560072"
"Bangalore","Dr. Agarwals Health Care Limited","C.K.Emerald,No.10,N.S.Palya,Keveriappa Industrial Area, Bannergatta Road,Bangalore-76"
"Bangalore","Mallya Hospital ","#2, Vittal Mallya Road,Bangalore-560001"
"Bangalore","Vasan Eye Care Hospital, Jayanagar","No 28 & 29 VII main diagonal road, IV Block, Jayanagar, Bangalore- 560011"
"Bangalore","Imperial Hospital & Research Centre Ltd. [a unit of Apollo Hospitals]","154/11 Opp.IIM, Bannergatta Road,Bangalore"
"Bangalore","Sunetra  Eye Hospital","#519/34, 2nd cross, 10th main, II block, BSK 1st stage, Bangalore-560050"
"Bangalore","Sunayana Eye Hospital","#1156, 26th Main, 4th T-Block, Jayanagar(Opp.4th T- Block, Bus Depot)Bangalore- 560041"
"Bangalore","Prabha Eye Clinic ","504, 40th cross, 8th block, jayanagar, Bangalore-560070"
"Bangalore","Bangalore Baptist Hospital,super speciality","Ballery Road, Bangalore-560024"
"Bangalore","Narayana Nethralaya-3,Ashoknagar","#37, Castle Street, Opp. Sacred Heart Church, Ashok Nagar, Bangalore-560025"
"Bangalore","Fortis Hospitals Bannerghatta Road","No.154/9, Bannerghatta Road,Opp. IIM-B, Bangalore   560 076"
"Bangalore","Sagar Hospital,Jayanagar","44/54,30th Cross, Tilak Nagar, Jayanagar Extension,Bangalore-560041"
"Bangalore","Dental Health Clinic","No.150,5th Cross,Koramangala,5th block,5th Cross, KHB Colony, Next to Juice Junction,Bangalore-560095"
"Bangalore","Vijaya Nethralaya","No-5,20th Cross, Malagala, Under Pass, ring road ,Nagarabhavi, IInd Stage,Bangalore-560091"
"Bangalore","Smiles Dental Care","No.74/2, Above Nagendra Medicals, I Floor, Nagavarapalya Main Road, C.V.Raman Nagar, Bangalore-560 093."
"Bangalore","Sri Eye Care, Laser & Surgical Centre ","Centre No-98-4 ,I Main, KHM Block(above Hallmark), Ganganagar,Bangalore-32"
"Bangalore","Bangalore Nethralaya","No.946,21st Main, Banashankari 2nd Stage, Near BDAComplex,Bangalore-560070"
"Bangalore","Karthik  Netralaya  Institute  Of Ophthlmology Pvt. Ltd.","No. 89, 6thCross Ashok Nagar,BSK-I Stage, Bengalluru-560050Tel 26674399 "
"Bangalore","Dr.M.C Modi  Eye  Hospital,Mahalaxmipuram","Dr.M.C Modi EyeHospital Road,Mahalaxmipuram,Bengaluru-560086Ph-23492233"
"Bangalore","Divya Dental Clinic, New Thippasandra Main Road","NewThippasandraMain Road HAL III Stage Bengaluru560075Tel.25281559"
"Bangalore","Devi Eye Hospital, Feet Road","434,18th Main, 80 Feet Road, 6th Block,Opp. Koramangala Bus Depot Bengaluru560095Ph 25535514 "
"Bangalore","Shekar Netralaya, J P Nagar","No 633,100Ft. Ring Road,JPNagar,3rdPhase Bengaluru560078Ph 26593210 "
"Bangalore","Chinmayi Dental and Medi Care, Govindraja Nagar ","No28,2nd Main5th Cross Govindraja Nagar,Bengaluru -560040Tel 23404380"
"Bangalore","P. D. Hinduja Sindhi Hospital","Sindhi HospitalRoad,Sampangiramnagar,Bangalore-560027Tel:080 22237117"
"Bangalore","Narayana Hridayalaya, Anekal Taluk(NEW)","Narayana Hridayalaya , No 258/ABommasandra Industrial Area,Anekal Taluk, Bengaluru -99 Ph. . 7835000 "
"Bangalore","Netradham  Superspecilaity  Eye Hospital","No.2567/14 Kanakapura Main Rd.,7th Block Jayanagar,Bengaluru560082Ph 26634202, 26633533"
"Bangalore","Narayana Netralaya -1 ,Chord Road","No.121/C Chord Road,Rajajinagar ist R Block,Bengaluru -10Tel 66660658 "
"Bangalore","B.W.Lions  Super  Speciality  Eye Hospital","No.5Lions Eye Hospital Road,(off JC Road)Bengaluru-560002Ph 22232562"
"Bangalore","Healthcare Global Enterprises Limited","No. 8P.Kalinga Rao Road,Sampangiram Nagar Bengaluru -27Ph. 4020 6000"
"Bangalore","Shankara Eye Hospital","Varthur Road, Kundalahalli Gate,Bangalore-560037"
"Bangalore","Vittala International Institute Of Ophthalmology ","Banshankari 3rd Stage, Bangalore-560085"
"Bangalore","Fortis Hospital, Cunningham Road ","No:14,Cunningham Road,Bangalore-560052"
"Bangalore","Retina Institute of Karnataka","#122, 5th Main Road, Chamaraj Peth, Bangalore-560018"
"Bangalore","M.S.Ramaiah Memorial Hospital ","MSRIT Post,New BEL Road,Bangalore-54"
"Bangalore","Sagar Hospitals  Banashankari","Shavige Malleshwara Hills, Kumarswamy layout,Banashankari,-560 078"
"Bangalore","Sparsh Hospital as Accidents Orthopaedic Plastic & Maxillo-Facial Surgery","Sy.No.29/P2,Narayana Health City,HosurRoad,Bommasandra, Bangalore-560099"
"Bangalore","Narayana Netralaya -2, Bommasandra","No 258/A Bommasandra,Hosur Road, Bengaluru -99Tel 66660658"
"Bhopal","SILVERLINE HOSPITAL","80, MOTIA TALAB, OPP. TAJ UL MASAJID, BHOPAL (M.P)-462001"
"Bhopal","DENASIA DENTAL CLINIC","MIG 2 IN FRONT OF RATNAGIRI, PETROL PUMP, ABOVE CANARA BANK, RATNAGIRI,RAISEN ROAD, BHOPAL (M.P) 462022 Ph-8120202052, 8120101014, 8120205858,"
"Bhopal","Sudarshan Netralaya ","Plot No. 61, Old MLA Qtr. Above Union Bank of India Jawahar Chowk, Bhopal (M.P)"
"Bhopal","Ajwani Eye Hospital  Pvt. Ltd.","115, Berasia Road, Sindhi Colony,Bhopal-462018 (M.P.)"
"Bhopal","PRAKASH EYECARE & LASER CENTER","PLOT 131/14, ZONE II, M.P NAGAR, NEAR PRAGATI PETROL PUMP, BHOPAL (M.P) 462011PH- 0755-4064747"
"Bhopal","Central Hospital (A Unit of Arush Health Care Pvt. Ltd.) B-123, Indira Vihar ","Colony, Tilak Society,Near Singar Choli AirportRoad,Bhopal-462001(M.P.)"
"Bhopal","Vision Care & Research Centre","E-7/378-79 Arera Colony,Bhopal-462016(M.P.)"
"Bhopal","Sewa Sadan Eye Hospital (Trust)","Behind Civil Hospital,Sant Hriram Nagar, Bhopal (M.P)"
"Bhopal","Manoria Heart Care Center","A-1/40, Chunabhati, Bhopal (M.P) "
"Bhopal","Chirayu Medical College &  Hospital","Near Bairagarh, Bhainsakhedi, Bhopal (M.P)"
"Bhopal","Mayo Hospital","SBI Square, Sultania Road, Bhopal (M.P)"
"Bhopal","Career Institute of Medical  Science","Opp: Dushera MaidanGovoindpura BHEL Bhopal (M.P)"
"Bhopal","Hajela Hospital","Geetanjali Complex, Kotra Sultanabad, Bhopal"
"Bhopal","TATHASTU SUPERSPECIALITY DENTAL CLINIC (ROSHANPURA)","75, MALVIYA NAGAR, ROSHANPURA SQUARE, NEW MARKET, BHOPAL (M.P), PIN 462003, PH 9111008002, 07554228002, 9111007770, 7566338555, 7566331444"
"Bhopal","TATHASTU SUPERSPECIALITY DENTAL CLINIC   (INDRAPURI)","A 38, INDRAPURI, NEXT TO ANANTSHREE HOSPITAL, OPP. BHEL GATE NO. 1BHOPAL (M.P), PIN 462022, PH 9111008003, 07554948002, 7566339888"
"Bhopal","TATHASTU SUPERSPECIALITY DENTAL CLINIC (KOLAR)","15 A MANDAKINI COLONY GATE, KOLAR MAIN ROAD, BHOPAL (M.P)PIN -462042PH 9111008001, 07554018002, 7566338666, 6261635963, 7566337999"
"Bhopal","L.B.S. Hospital","73, Tajul Masjid Road, Opp. Motia TalabBhopal (M.P) 462001,Ph.no. 0755 2733433"
"Bhopal","Noble Multispeciality Hospital","PLOT NO.269/1, OPPOSITE MISROD POLICE STATION,MISROAD BHOPAL (M.P). Ph -07557110711, 07552488008"
"Bhopal","Jawahar Lal Nehru Cancer Hospital & Research Centre","32, Idgah Hills, Bhopal"
"Bhopal","People Hospital","By pass Road, BhanpurBhopal (M.P)"
"Bhopal","Matashree Netralaya","G-2 Near Manora Homes, Behind Aura mall Gulmohar Bhopal-462039 (M.P) Ph.- 0755-2562222/33/44, M-9826084896"
"Bhopal","Navjeevan Hospital","HIG-652, Arvind Vihar, Near Mount Carmel School Baghmugalia, Bhopal (M.P)-462043 "
"Bhopal","Navodaya Cancer Hospital & Research Centre","M.P. Nagar, Zone-II "
"Bhopal","Narmada Trauma Center Pvt. Ltd.","E3/23, Arera Colony Bhopal (M.P) Ph-0755-4040000"
"Bhopal","Siddhanta Redcross Superspeciality Hospital","Link Road No.01, Shivaji Nagar"
"Bhopal","L.N. Medical College& J.K. Hospital","J.K. Town, C-Sector, Kolar Rd. Bhopal"
"Bhubaneswar","Kalinga Hospital","General Purpose"
"Bhubaneswar","AMRI Hospital","General Purpose"
"Bhubaneswar","Care Hospital","General with Multy Speciality Hospital"
"Bhubaneswar","Sara Gastro & Laparoscopic Hospital","General Purpose"
"Bhubaneswar","Hi-Tech Medical College & Hospital","General Purpose"
"Bhubaneswar","Sparsh Hopital","General Purpose"
"Bhubaneswar","Vivekananda Hospital","General Purpose"
"Bhubaneswar","KIMS Hospital","General Purpose"
"Bhubaneswar","KIDS Multispecialist Diabetic Hospital","General Purpose"
"Bhubaneswar","L.V. Prasad Eye Institute","Exclusive Eye Care Center"
"Bhubaneswar","Dr. Agarwal Eye Hospital","Exclusive Eye Facilities"
"Bhubaneswar","IMS & SUM Hospital","General Porpose"
"Bhubaneswar","Bibhuti Bhusan Dental Hospital","Exclusive Dental Care Centre"
"Chandigarh","IVY Hospital Mohali","Ivy Hospital mohali"
"Chandigarh","Gupta Eye Hospital","#685,Sector 12-A,PANCHKULA, Haryana 134113"
"Chandigarh","JP EYE HOSPITAL","exclusive eye hospital"
"Chandigarh","DHAWAN HOSPITAL","Plot No 1, Sec 7,Panchkula, Haryana"
"Chandigarh","Dr Kochar's House of Smiles","1154, Sector-21 B, Chandigarh- 160022"
"Chandigarh","Healing Hospital and Institute of Paramedical Sciences","N.A"
"Chandigarh","Max hospital","Max hospital Mohali"
"Chandigarh","MAYO HEALTHCARE SUPER SPECIALITY HOSPITAL-MOHALI","MAYO HEALTHCARE SUPER SPECIALITY HOSPITAL-MOHALI"
"Chandigarh","LANDMARK HOSPITAL-CHD","LANDMARK HOSPITAL-CHD"
"Chandigarh","Ace Heart & Vascular Institute","Shivalik Hospital premise, Sec-69, Mohali 160062 PUNJAB"
"Chandigarh","GRECIAN SUPER SPECIALITY HOSPITAL-MOHALI","Grecian Super Speciality Hospital-MOHALI"
"Chandigarh","Indus Speciality Hospital, Mohali","Indus Hospital"
"Chandigarh","PARAS HOSPITAL PANCHKULA","PLOT NO H-2, HDSIIDC TECHNOLOGY PARK sEC-22,PKL-134109"
"Chandigarh","ALCHEMIST HOSPITAL, PANCHKULA","ALCHEMIST HOSPITAL, PANCHKULA"
"Chandigarh","Netra Eye Hospital","SCO 404, Sector 20, Panchkula (Hry)"
"Chandigarh","Grewal Eye Institute, Chandigarh","Grewal eye institute Chandigarh"
"Chandigarh","Grover Eye Laser & ENT Hospital","Grover Eye laser & ENT Hospital"
"Chandigarh","Fortis Hospital Mohali","Sec 62, Phase 8,Mohali"
"Chandigarh","Sri Guru Harkishan sahib (C)Eye Hospital trust, Sohana, (DENTAL)","Sri Guru harkishan Sahib (C) Eye hospital trust Sohana DENTAL"
"Chandigarh","Mukat Hospital & Heart Institute","Mukat hospital & heart institute"
"Chandigarh","Eden Hospital","Eden Critical Care Hospital, Plot No 115,Near Elante Mall, Industrial & Business Park,Phase-1, Chandigarh"
"Chandigarh","OJAS Hospital","MULTISPECIALITY hOSPITAL"
"Chandigarh","Sri Guru Harkishan Sahib (C) Eye Hospital trust, Sohana (General)","Sri Guru Harkishan Sahib Eye Hospital trust Sohana"
"Chandigarh","Dr Ashok Sharma's Cornea Centre","SCO 2463-64, 2nd floor, Sector 22-C Chandigarh-160022"
"Chandigarh","Amar hospital, Mohali","Amar Hospital "
"Chandigarh","Drishti Eye Hospital, PKL","Drishti Eye Hospital Plot No-209, Sec 10,Panchkula"
"Chandigarh","Sri Guru Harkishan Sahib (C) Eye hospital trust, Sohana,(EYE)","Sri Guru harkishan Sahib (C)Eye Hospital trust, sohana, Mohali"
"Chandigarh","A- One Creations Pvt ltd, Chd (Eye)","Nursing Home Site No 1,Behind Raghunath Mandir Panchkula-134109, Haryana"
"Chandigarh","Indus Hygiea Dental, Mohali","Indus Hygeia Dental , Mohali"
"Chennai","PARVATHY ORTHO HOSPITAL PVT. LTD","241, GST ROAD,CHROMPET, CHENNAI44"
"Chennai","ANY RECOGNIZED HOSPITAL","N.A"
"Chennai","MAHALAKSHMI MULTISPECIALITY HOSPITAL","OLD NO 2/576 N NO1/164 MOUNT POONAMALLEE ROAD IYYAPPANTHANGAL"
"Chennai","Kauvery HCG Cancer Centre, Chennai","MBC TOWER, 199/90,MBC TOWERS, 5THFLOOR, LUZ CHURCHROAD, MYLAPORE,CHENNAI- 600 004."
"Chennai","MIOT HOSPITALS LTD","4/112, MOUNTPOONAMALLEE ROAD,MANAPAKKAM,CHENNAI-89"
"Chennai","DR. Agarwal's Eye Hospital TIRUNELVELI","Land mark Towers,South bye Pass Roadopp to BSNL Vannarpet,Tirunelveli-"
"Chennai","DR.AGARWALS EYE HOSPITAL. - PORUR","EYE CARE AND ALL OTHERFACILITIES AVAILABLE INTHE HOSPITAL."
"Chennai","CSI KALYANI GENERAL HOSPITAL","15,DR.RADHAKRISHNANSALAI, MYLAPORECHENNAI-4 "
"Chennai","Sri Manakula Vinayagar College and Hos","Kalitheerthalkuppam,Madagadipet,Puducherry   605107"
"Chennai","Dr. Arvind Vision Care","No. 2/862, KalamegamStreet, West Mogappair,Chennai-37"
"Chennai","CSI RAINY MULTISPECIALITY HOSPITAL","45, G.A.ROAD, CHENNAI21"
"Chennai"," Pondicherry Institute of Medical Sciences","GanapathichettikullamKalapet,Puducherry -605014"
"Chennai","DR RAI MEMORIAL MEDICAL CENTRE","Century Plaza, 562, Anna Salai, Opposite Hyatt Regency, Teynampet, Chennai, Tamil Nadu 600018"
"Chennai","FRONTIER LIFELINE HOSPITAL","R30-C, AMBATTURINDUSTRIAL ROAD,MOGAPPAIR, CHENNAI101"
"Chennai","Dr. AGARWAL'S HEALTH CARE LTD","B 31, Sastri Raod, FortStation Road, ThillaiNagar, Trichy-620 018.Phone: 0431-2762765"
"Chennai","SHIFA HOSPITAL","No. 82, Kailasapurammiddle Street,Tirunelveli   627 001"
